0.284 (0.284)	/award/award_category/winners./award/award_honor/award_winner <-- inv_/award/award_winning_work/awards_won./award/award_honor/award, /award/award_category/winners./award/award_honor/award_winner
0.255 (0.255)	/award/award_category/winners./award/award_honor/award_winner <-- /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for, /award/award_category/winners./award/award_honor/award_winner
0.266 (0.266)	/award/award_category/winners./award/award_honor/award_winner <-- /award/award_category/winners./award/award_honor/award_winner, /award/award_category/winners./award/award_honor/award_winner
0.254 (0.254)	/award/award_category/winners./award/award_honor/award_winner <-- /award/award_winner/awards_won./award/award_honor/award_winner, /award/award_category/winners./award/award_honor/award_winner
0.242 (0.242)	/award/award_category/winners./award/award_honor/award_winner <-- inv_/film/film/executive_produced_by, /award/award_category/winners./award/award_honor/award_winner
0.241 (0.241)	/award/award_category/winners./award/award_honor/award_winner <-- inv_/film/film/film_festivals, /award/award_category/winners./award/award_honor/award_winner
0.240 (0.240)	/award/award_category/winners./award/award_honor/award_winner <-- inv_/award/award_ceremony/awards_presented./award/award_honor/award_winner, /award/award_category/winners./award/award_honor/award_winner
0.238 (0.238)	/award/award_category/winners./award/award_honor/award_winner <-- inv_/award/award_winning_work/awards_won./award/award_honor/honored_for, /award/award_category/winners./award/award_honor/award_winner
0.237 (0.237)	/award/award_category/winners./award/award_honor/award_winner <-- inv_/film/film/cinematography, /award/award_category/winners./award/award_honor/award_winner
0.236 (0.236)	/award/award_category/winners./award/award_honor/award_winner <-- inv_/film/film/story_by, /award/award_category/winners./award/award_honor/award_winner
0.038 (0.038)	/education/field_of_study/students_majoring./education/education/major_field_of_study <-- /organization/organization/headquarters./location/mailing_address/citytown, /education/field_of_study/students_majoring./education/education/major_field_of_study
0.041 (0.041)	/education/field_of_study/students_majoring./education/education/major_field_of_study <-- inv_/location/location/contains, inv_/education/educational_degree/people_with_this_degree./education/education/major_field_of_study
0.042 (0.042)	/education/field_of_study/students_majoring./education/education/major_field_of_study <-- inv_/people/cause_of_death/people, /education/field_of_study/students_majoring./education/education/major_field_of_study
0.040 (0.040)	/education/field_of_study/students_majoring./education/education/major_field_of_study <-- /education/educational_degree/people_with_this_degree./education/education/major_field_of_study, /education/field_of_study/students_majoring./education/education/major_field_of_study
0.042 (0.042)	/education/field_of_study/students_majoring./education/education/major_field_of_study <-- /education/field_of_study/students_majoring./education/education/major_field_of_study, /education/field_of_study/students_majoring./education/education/major_field_of_study
0.052 (0.052)	/education/field_of_study/students_majoring./education/education/major_field_of_study <-- inv_/education/educational_degree/people_with_this_degree./education/education/major_field_of_study, /education/field_of_study/students_majoring./education/education/major_field_of_study
0.046 (0.046)	/education/field_of_study/students_majoring./education/education/major_field_of_study <-- /base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months, /education/field_of_study/students_majoring./education/education/major_field_of_study
0.041 (0.041)	/education/field_of_study/students_majoring./education/education/major_field_of_study <-- inv_/education/educational_degree/people_with_this_degree./education/education/major_field_of_study, /education/educational_degree/people_with_this_degree./education/education/major_field_of_study
0.043 (0.043)	/education/field_of_study/students_majoring./education/education/major_field_of_study <-- inv_/location/location/contains, /education/field_of_study/students_majoring./education/education/major_field_of_study
0.038 (0.038)	/education/field_of_study/students_majoring./education/education/major_field_of_study <-- /education/educational_degree/people_with_this_degree./education/education/major_field_of_study, inv_/education/educational_degree/people_with_this_degree./education/education/major_field_of_study
0.070 (0.070)	/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language <-- /film/film/language, /film/film_distributor/films_distributed./film/film_film_distributor_relationship/film
0.088 (0.088)	/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language <-- /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language, /film/film_distributor/films_distributed./film/film_film_distributor_relationship/film
0.063 (0.063)	/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language <-- /music/instrument/family, /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language
0.065 (0.065)	/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language <-- /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language, inv_/time/event/instance_of_recurring_event
0.062 (0.062)	/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language <-- /base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language, /education/field_of_study/students_majoring./education/education/major_field_of_study
